"requirement_id","claim_object","applies_to","minimum_image_evidence"
"REQ_GENERAL_OBJECT_PART","all","general claim review","The claimed object and relevant part should be visible clearly enough to inspect the claimed condition."
"REQ_GENERAL_MULTI_IMAGE","all","multi-image rows","Each submitted image should be considered separately; at least one relevant image should show the claimed object or part clearly enough to evaluate the claim."
"REQ_CAR_BODY_PANEL","car","dent or scratch","The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed."
"REQ_CAR_GLASS_LIGHT_MIRROR","car","crack, broken, or missing part","The claimed glass, light, mirror, or component should be visible clearly enough to inspect cracks, breakage, or missing parts."
"REQ_CAR_IDENTITY_OR_SIDE","car","vehicle identity or orientation","When the claim depends on vehicle identity, side, or orientation, the image set should show enough context to match the claimed vehicle and part."
"REQ_LAPTOP_SCREEN_KEYBOARD_TRACKPAD","laptop","screen, keyboard, or trackpad","The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage."
"REQ_LAPTOP_BODY_HINGE_PORT","laptop","hinge, lid, corner, body, or port","The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part."
"REQ_PACKAGE_EXTERIOR","package","crushed, torn, or seal damage","The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage."
"REQ_PACKAGE_LABEL_OR_STAIN","package","water, stain, or label damage","The affected package surface or label should be visible clearly enough to assess stain, water damage, label readability, or label damage."
"REQ_PACKAGE_CONTENTS","package","contents or inner item","The opened package and relevant contents area should be visible clearly enough to assess missing or damaged items."
"REQ_REVIEW_TRUST","all","reviewability","The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object."
