"user_id","past_claim_count","accept_claim","manual_review_claim","rejected_claim","last_90_days_claim_count","history_flags","history_summary"
"user_001","2","2","0","0","1","none","Low-risk user with prior accepted car damage claims"
"user_002","4","3","1","0","2","none","Mostly accepted vehicle claims with one manual review"
"user_003","1","1","0","0","0","none","Limited history and no notable risk"
"user_004","6","4","1","1","2","none","Moderate history with mostly accepted claims"
"user_005","7","2","2","3","4","user_history_risk","Several exaggerated vehicle damage claims in recent history"
"user_006","0","0","0","0","0","none","New user with no prior claim history"
"user_007","3","2","1","0","1","none","Prior claims were mostly supported"
"user_008","5","2","2","1","3","user_history_risk","Several prior claims required image-quality review"
"user_009","1","1","0","0","1","none","Low-risk laptop claim history"
"user_010","2","2","0","0","1","none","Prior hinge claim accepted with clear evidence"
"user_011","4","3","1","0","2","none","Mostly accepted electronics damage history"
"user_012","3","2","0","1","1","none","One rejected laptop cosmetic claim"
"user_013","8","3","2","3","5","user_history_risk;manual_review_required","Previously submitted a visually similar fender damage image"
"user_014","2","1","1","0","1","user_history_risk","Prior windshield claim needed manual review"
"user_015","1","1","0","0","0","none","Low-risk package claim history"
"user_016","11","2","2","7","6","user_history_risk;manual_review_required","Frequent rejected car scratch claims"
"user_017","2","2","0","0","1","none","Low-risk laptop damage claimant"
"user_018","5","4","0","1","2","none","Mostly accepted claims with one contradiction"
"user_019","3","2","1","0","1","none","Prior laptop claims were plausible"
"user_020","1","0","1","0","1","user_history_risk","Limited history but prior claim needed manual review"
"user_021","6","4","1","1","3","none","Mostly accepted cosmetic laptop claims"
"user_022","4","2","1","1","2","none","Mixed laptop screen damage history"
"user_023","0","0","0","0","0","none","New user with no prior claim history"
"user_024","7","2","3","2","4","user_history_risk;manual_review_required","Repeated laptop lid damage claims with review history"
"user_025","2","2","0","0","1","none","Low-risk missing key claim history"
"user_026","5","2","1","2","2","user_history_risk","Prior claims sometimes confused tablet and laptop evidence"
"user_027","3","1","2","0","2","user_history_risk","Prior images had glare and reflection ambiguity"
"user_028","9","4","3","2","5","user_history_risk;manual_review_required","Repeated hinge damage claims across multiple months"
"user_029","2","2","0","0","1","none","Low-risk package damage history"
"user_030","4","3","0","1","2","none","Mostly accepted package claims"
"user_031","6","3","2","1","3","user_history_risk","Prior package claims often needed evidence review"
"user_032","1","0","1","0","1","manual_review_required","Prior missing item claim lacked enough evidence"
"user_033","5","2","1","2","3","user_history_risk","Several package severity exaggeration claims"
"user_034","2","1","1","0","1","user_history_risk","Prior label damage image was unreadable"
"user_035","0","0","0","0","0","none","New user with no prior claim history"
"user_036","4","2","2","0","3","user_history_risk","Prior water damage claims needed review for authenticity"
"user_037","14","4","4","6","9","user_history_risk;manual_review_required","Unusually frequent package damage claims"
"user_038","3","2","0","1","1","none","One prior broken item claim was contradicted"
"user_039","2","1","1","0","1","user_history_risk","Prior stain claim was ambiguous due to low light"
"user_040","8","3","2","3","5","user_history_risk;manual_review_required","Prior open box image looked similar to current evidence pattern"
"user_041","3","2","0","1","1","manual_review_required","Prior car claims had mixed outcomes and should be reviewed carefully"
"user_042","5","3","1","1","2","manual_review_required","Prior vehicle claims include one rejection and one manual review"
"user_043","1","0","1","0","1","user_history_risk","Prior claim involved confusing toy object evidence"
"user_044","2","0","2","0","2","user_history_risk;manual_review_required","Prior evidence included screenshots instead of original photos"
"user_045","4","2","1","1","2","user_history_risk","Prior claim confused monitor or tablet damage with laptop damage"
"user_046","6","3","2","1","3","user_history_risk","Prior claims sometimes confused left and right side components"
"user_047","7","3","1","3","4","user_history_risk;manual_review_required","Repeated side-specific car claims with some rejected mismatches"
